"X","性別","醫療層級","縣市","年齡","年度","人數"
1,"F","醫學中心","高雄市",20,2005,56
2,"F","醫學中心","高雄市",20,2006,17
3,"F","醫學中心","高雄市",20,2007,11
4,"F","醫學中心","高雄市",20,2008,1
5,"F","醫學中心","高雄市",20,2009,5
6,"F","醫學中心","高雄市",20,2010,5
7,"F","醫學中心","高雄市",20,2011,7
8,"F","醫學中心","高雄市",20,2012,7
9,"F","醫學中心","高雄市",21,2005,71
10,"F","醫學中心","高雄市",21,2006,75
11,"F","醫學中心","高雄市",21,2007,13
12,"F","醫學中心","高雄市",21,2008,20
13,"F","醫學中心","高雄市",21,2009,5
14,"F","醫學中心","高雄市",21,2010,13
15,"F","醫學中心","高雄市",21,2011,35
16,"F","醫學中心","高雄市",21,2012,34
17,"F","醫學中心","高雄市",22,2005,92
18,"F","醫學中心","高雄市",22,2006,119
19,"F","醫學中心","高雄市",22,2007,119
20,"F","醫學中心","高雄市",22,2008,141
21,"F","醫學中心","高雄市",22,2009,116
22,"F","醫學中心","高雄市",22,2010,135
23,"F","醫學中心","高雄市",22,2011,211
24,"F","醫學中心","高雄市",22,2012,238
25,"F","醫學中心","高雄市",23,2005,103
26,"F","醫學中心","高雄市",23,2006,127
27,"F","醫學中心","高雄市",23,2007,180
28,"F","醫學中心","高雄市",23,2008,219
29,"F","醫學中心","高雄市",23,2009,189
30,"F","醫學中心","高雄市",23,2010,172
31,"F","醫學中心","高雄市",23,2011,254
32,"F","醫學中心","高雄市",23,2012,299
33,"F","醫學中心","高雄市",24,2005,119
34,"F","醫學中心","高雄市",24,2006,131
35,"F","醫學中心","高雄市",24,2007,162
36,"F","醫學中心","高雄市",24,2008,249
37,"F","醫學中心","高雄市",24,2009,230
38,"F","醫學中心","高雄市",24,2010,206
39,"F","醫學中心","高雄市",24,2011,191
40,"F","醫學中心","高雄市",24,2012,251
41,"F","醫學中心","高雄市",25,2005,80
42,"F","醫學中心","高雄市",25,2006,135
43,"F","醫學中心","高雄市",25,2007,158
44,"F","醫學中心","高雄市",25,2008,249
45,"F","醫學中心","高雄市",25,2009,244
46,"F","醫學中心","高雄市",25,2010,228
47,"F","醫學中心","高雄市",25,2011,236
48,"F","醫學中心","高雄市",25,2012,208
49,"F","醫學中心","高雄市",26,2005,53
50,"F","醫學中心","高雄市",26,2006,84
51,"F","醫學中心","高雄市",26,2007,147
52,"F","醫學中心","高雄市",26,2008,269
53,"F","醫學中心","高雄市",26,2009,250
54,"F","醫學中心","高雄市",26,2010,240
55,"F","醫學中心","高雄市",26,2011,232
56,"F","醫學中心","高雄市",26,2012,248
57,"F","醫學中心","高雄市",27,2005,42
58,"F","醫學中心","高雄市",27,2006,63
59,"F","醫學中心","高雄市",27,2007,102
60,"F","醫學中心","高雄市",27,2008,245
61,"F","醫學中心","高雄市",27,2009,273
62,"F","醫學中心","高雄市",27,2010,251
63,"F","醫學中心","高雄市",27,2011,227
64,"F","醫學中心","高雄市",27,2012,239
65,"F","醫學中心","高雄市",28,2005,21
66,"F","醫學中心","高雄市",28,2006,59
67,"F","醫學中心","高雄市",28,2007,82
68,"F","醫學中心","高雄市",28,2008,231
69,"F","醫學中心","高雄市",28,2009,276
70,"F","醫學中心","高雄市",28,2010,255
71,"F","醫學中心","高雄市",28,2011,243
72,"F","醫學中心","高雄市",28,2012,233
73,"F","醫學中心","高雄市",29,2005,21
74,"F","醫學中心","高雄市",29,2006,32
75,"F","醫學中心","高雄市",29,2007,68
76,"F","醫學中心","高雄市",29,2008,191
77,"F","醫學中心","高雄市",29,2009,244
78,"F","醫學中心","高雄市",29,2010,269
79,"F","醫學中心","高雄市",29,2011,253
80,"F","醫學中心","高雄市",29,2012,255
81,"F","醫學中心","高雄市",30,2005,18
82,"F","醫學中心","高雄市",30,2006,33
83,"F","醫學中心","高雄市",30,2007,40
84,"F","醫學中心","高雄市",30,2008,238
85,"F","醫學中心","高雄市",30,2009,233
86,"F","醫學中心","高雄市",30,2010,245
87,"F","醫學中心","高雄市",30,2011,257
88,"F","醫學中心","高雄市",30,2012,262
89,"F","醫學中心","高雄市",31,2005,22
90,"F","醫學中心","高雄市",31,2006,21
91,"F","醫學中心","高雄市",31,2007,40
92,"F","醫學中心","高雄市",31,2008,204
93,"F","醫學中心","高雄市",31,2009,257
94,"F","醫學中心","高雄市",31,2010,233
95,"F","醫學中心","高雄市",31,2011,237
96,"F","醫學中心","高雄市",31,2012,244
97,"F","醫學中心","高雄市",32,2005,27
98,"F","醫學中心","高雄市",32,2006,25
99,"F","醫學中心","高雄市",32,2007,27
