"行政區域","女男比","平均教育程度","扶老比_log","有偶比例","每戶平均用電度數_log","綜合所得中位數_log","cluster"
"中山區下埤里",0.602775941837409,0.473087818696884,0.477261044163348,0.340421138390878,0.666427708482487,0.347778604197565,"5"
"中山區中原里",0.562293456708526,0.543480127049532,0.622496353968831,0.446418146359174,0.601833105125719,0.355553135174042,"7"
"中山區中吉里",0.472571050892267,0.573611468795605,0.632135536717731,0.499899753565652,0.653927738084567,0.454741055561443,"6"
"中山區中央里",0.59897554527429,0.542535839986265,0.631045588086577,0.459704290291681,0.74785352805703,0.352449931607738,"6"
"中山區中山里",0.897554527428949,0.437376598849687,0.427314107625786,0.283427208644766,0.633353092496014,0.227508738910235,"5"
"中山區中庄里",0.523298083278255,0.37719975963602,0.651129379708016,0.324230987955322,0.65000156140254,0.215251832299841,"7"
"中山區劍潭里",0.428783873099802,0.537556871834492,0.714417109617641,0.284872468984211,0.527167286772523,0.390622945629905,"7"
"中山區力行里",0.58773959021811,0.654991844793545,0.683697013688789,0.611708251598065,0.796135045603153,0.497765461294653,"6"
"中山區北安里",0.504957038995373,0.587089020516783,0.504775939764131,0.471200038315668,0.45871522696684,0.439059438262746,"6"
"中山區圓山里",0.65680766688698,0.427161129710705,0.511440122806132,0.281337449146802,0.669053206420884,0.197500931563373,"5"
"中山區埤頭里",0.503139458030403,0.498240192291184,0.689793196364959,0.402265805216862,0.561235674939943,0.298306317424226,"7"
"中山區大佳里",0.0386649041639128,0.104815864022663,0.554240703403609,0.248780257245633,0.528179922040258,0,"1"
"中山區大直里",0.516192994051553,0.688556957678771,0.573676084317085,0.593082644882141,0.612191975897947,0.444787815400692,"6"
"中山區康樂里",1,0.479611983861276,0.487931120784692,0.342235936648674,0.659605537428327,0.332062264757159,"5"
"中山區復華里",0.674983476536682,0.609322688642802,0.612489945759674,0.574149040033109,0.772968021099894,0.477157809638152,"6"
"中山區恆安里",0.898380700594845,0.482359000772598,0.435203836737491,0.384457489140827,0.644077389120219,0.283515328456554,"5"
"中山區成功里",0.691341705221414,0.784359172461156,0.325674143193592,0.879211930132998,0.818272483267796,0.91498947155126,"2"
"中山區新喜里",0.547587574355585,0.380633530775174,0.424430109803907,0.298718415063892,0.629366725418912,0.215251832299841,"4"
"中山區新庄里",0.606741573033708,0.349815434801271,0.487055638370092,0.284109772952925,0.49989019488267,0.186710860348389,"4"
"中山區新生里",0.606576338400529,0.376598849686669,0.592797402111919,0.30536069625589,0.763304466072555,0.184902151399234,"5"
"中山區新福里",0.638962326503635,0.39050562280024,0.55077972077406,0.312042456651259,0.646902531225637,0.218767802390356,"5"
"中山區晴光里",0.770819563780568,0.505536955961885,0.506541222098297,0.314368485150141,0.634596957881002,0.304816613856774,"5"
"中山區朱園里",0.605089226701917,0.662546141299682,0.55774659082049,0.522341879306178,0.795328408104586,0.486822909421745,"6"
"中山區朱崙里",0.683245208195638,0.537900248948408,0.604245204010899,0.540811057258105,0.656229798214177,0.375512765554628,"6"
"中山區朱馥里",0.516192994051553,0.457893381406129,0.560074498709513,0.460322941622804,0.577378513515652,0.286819492789399,"7"
"中山區松江里",0.639623265036352,0.536011674821873,0.627078751227877,0.435708982977957,0.689556951802967,0.396609218216107,"6"
"中山區正守里",0.52048909451421,0.513091252468023,0.61691157014989,0.44381633237673,0.628385978291641,0.354002630705106,"7"
"中山區正得里",0.874421678783873,0.562280024036398,0.581623559594438,0.404752544916666,0.805847069152257,0.304816613856774,"5"
"中山區正義里",0.850132187706543,0.385440810369989,0.452151795842615,0.194462865948843,0.728911284622378,0.188516591997518,"5"
"中山區民安里",0.575016523463318,0.526139582796807,0.730675231602188,0.428739530455642,0.73411293175074,0.291757153320084,"7"
"中山區永安里",0.600627891606081,0.742381320285003,0.435544836513427,0.726283090436719,0.621786320913367,0.762510245516565,"2"
"中山區江寧里",0.579147389292796,0.651901450768306,0.581881889915175,0.45415545932891,0.641646149356696,0.423150393417745,"6"
"中山區江山里",0.51685393258427,0.591896300111598,0.657013712473758,0.448517301337725,0.61177536295541,0.390622945629905,"6"
