"統計年月","縣市","行政區域","售電量度數","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得中位數","綜合所得IQR","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","設有戶籍宅數","設有戶籍宅數之平均人口數","單身或頂客家庭","核心家庭","折衷或大家庭","總戶長數","戶長平均年齡","少年戶長數","青年戶長數","壯年戶長數","老年戶長數","每戶平均老年人口數","獨居老人宅數","一名老年人口宅數","二名以上老年人口宅數","有偶人數","離婚人數","未婚人數","便利商店數","每戶平均用電度數","每人平均用電度數"
10401,"臺北市","北投區八仙里",1106675,4988,0.091,0.3031,0.6059,1768,1860333,647,874,2116,5757,0.5107,0.4893,0.2024,0.3054,0.3808,0.1115,16,9,7,8,4,1519,3.77,610,463,446,2112,54.05,33,581,1065,433,0.32,95,73,22,1329,249,333,0,523,192.23
10401,"臺北市","北投區大同里",1187859,5492,0.0954,0.293,0.6116,1934,2110861,649,919,2344,6286,0.5033,0.4967,0.2068,0.3016,0.3791,0.1125,10,5,5,6,1,1784,3.53,736,565,483,2375,54.25,52,636,1174,513,0.32,124,99,25,1477,258,404,0,506.77,188.97
10401,"臺北市","北投區大屯里",370339,1105,0.0588,0.2045,0.7367,346,498508,570,726,425,1246,0.4751,0.5249,0.179,0.2978,0.3756,0.1477,4,2,2,4,0,287,4.38,123,67,97,429,58.14,5,74,218,132,0.47,38,30,8,280,46,55,0,871.39,297.22
10401,"臺北市","北投區稻香里",1036080,4719,0.0799,0.2823,0.6378,1579,1461138,629,756,2040,5306,0.4964,0.5038,0.1813,0.3166,0.383,0.1191,14,4,10,5,0,1623,3.26,726,543,354,2043,54.19,37,604,952,450,0.33,106,89,17,1233,220,357,0,507.88,195.27
10401,"臺北市","北投區東華里",879960,4005,0.1134,0.3144,0.5723,1455,1568597,688,934,1622,4756,0.529,0.471,0.2183,0.2843,0.381,0.1165,6,3,3,4,0,1171,4.01,376,421,374,1604,55.71,18,394,832,360,0.36,68,44,24,1099,160,170,0,542.52,185.02
10401,"臺北市","北投區豐年里",650055,4097,0.0588,0.267,0.6742,1399,1152844,604,724,1706,4933,0.5149,0.4853,0.2303,0.3205,0.3353,0.1139,15,7,8,7,2,1180,4.18,369,368,443,1712,53.64,25,554,747,386,0.35,59,40,19,1094,200,229,1,381.04,131.78
10401,"臺北市","北投區福興里",1256969,6316,0.1097,0.2989,0.5914,2293,2320753,684,920,2639,7636,0.5282,0.472,0.2483,0.2988,0.3494,0.1035,10,5,5,8,0,1965,3.89,665,679,621,2692,53.8,37,838,1263,554,0.31,131,97,34,1827,259,339,1,476.31,164.61
10401,"臺北市","北投區關渡里",2343512,10264,0.0771,0.2823,0.6406,3421,3437669,641,795,4138,11812,0.5068,0.4932,0.193,0.3222,0.3617,0.123,22,12,10,17,2,3264,3.62,1331,1064,869,4169,53.17,49,1267,2123,730,0.36,163,117,46,2739,416,607,1,566.34,198.4
10401,"臺北市","北投區湖山里",625757,1662,0.0542,0.2383,0.7076,523,689767,614,755,719,1845,0.4791,0.5203,0.1453,0.2645,0.3886,0.2016,2,1,1,2,0,477,3.84,225,106,146,712,61.27,10,108,309,285,0.53,76,61,15,410,77,101,1,870.32,339.16
10401,"臺北市","北投區湖田里",228227,936,0.0395,0.2041,0.7564,249,271870,589,718,398,1086,0.4558,0.5433,0.14,0.2983,0.4144,0.1464,2,2,0,1,0,224,4.59,88,43,93,386,56.79,7,84,194,101,0.41,17,14,3,253,38,55,0,573.43,210.15
10401,"臺北市","北投區吉利里",1012177,6103,0.1098,0.3215,0.5687,2216,2309619,721,950,2560,7608,0.5197,0.4804,0.2645,0.2842,0.3417,0.1098,16,6,10,10,4,1803,4.19,517,625,661,2551,53.75,35,809,1166,541,0.34,98,66,32,1733,250,309,0,395.38,133.04
10401,"臺北市","北投區吉慶里",887611,4674,0.1085,0.3271,0.5644,1660,1685899,724,915,1961,5792,0.5283,0.4717,0.2617,0.2907,0.3384,0.1091,15,6,9,5,4,1419,4.05,454,457,508,1969,53.79,32,633,887,417,0.34,71,47,24,1372,188,244,2,452.63,153.25
10401,"臺北市","北投區建民里",854011,3916,0.1032,0.3274,0.5695,1331,1436550,692,943,1696,4486,0.5154,0.4846,0.1913,0.284,0.3798,0.1449,7,3,4,6,1,1276,3.49,567,378,331,1696,56.53,20,399,817,460,0.41,122,95,27,1118,154,230,1,503.54,190.37
10401,"臺北市","北投區開明里",1240291,6085,0.0999,0.3137,0.5864,2117,2570956,678,921,2566,6798,0.5216,0.4782,0.1798,0.298,0.3916,0.1306,10,3,7,8,2,2084,3.27,876,726,482,2579,55.25,46,667,1254,612,0.36,177,143,34,1651,269,384,2,483.36,182.45
10401,"臺北市","北投區立農里",1641783,8109,0.0968,0.3055,0.5977,2898,2844690,670,889,3377,9711,0.5151,0.4849,0.2387,0.3128,0.357,0.0914,17,10,7,13,3,2479,3.92,804,875,800,3403,52.93,59,1081,1673,590,0.28,111,88,23,2301,347,478,1,486.17,169.06
10401,"臺北市","北投區立賢里",1030248,4837,0.0947,0.3097,0.5956,1792,1687347,649,841,2072,6012,0.5283,0.4717,0.2468,0.3071,0.348,0.0983,15,10,5,0,3,1476,4.01,457,513,506,2064,53.47,18,690,943,413,0.31,78,54,24,1387,206,281,0,497.22,171.37
10401,"臺北市","北投區林泉里",770528,3197,0.1004,0.2875,0.6121,1025,898033,639,770,1540,3564,0.5101,0.4899,0.1633,0.2859,0.4024,0.1481,6,4,2,6,2,1253,2.85,677,366,210,1550,54.84,31,428,721,370,0.36,136,109,27,826,249,315,0,500.34,216.2
10401,"臺北市","北投區奇岩里",2219704,8879,0.094,0.3214,0.5845,3191,5872618,696,967,3524,9871,0.5077,0.4924,0.1875,0.3084,0.3845,0.1195,12,5,7,15,4,2889,3.46,1128,1002,759,3618,54.92,67,900,1862,789,0.35,190,155,35,2349,388,549,0,629.88,224.87
10401,"臺北市","北投區清江里",1522866,8865,0.0596,0.2545,0.686,2570,2305736,621,727,4064,9818,0.4913,0.5087,0.1773,0.2954,0.4,0.1272,20,8,12,6,4,2424,4.08,967,786,671,4182,54.69,68,1107,2083,924,0.32,162,122,40,2119,742,887,2,374.72,155.11
